,BYGNINGSTYPE_NAVN,BRUKSAREAL_TOTALT,ANTALL_ETASJER,UX_KOORDINAT,UY_KOORDINAT,BEBYGD_AREAL,ANTALL,FYLKE
0,Andre småhus m/3 boliger el fl,522061,3857,9880032606.99,322718663.94,126966.2,1526,Buskerud
1,Annen boligbyg.(sek. reindrift,77972,261,580877626.75,18565185.06,7258.0,92,Buskerud
2,Annen bygn. for religiøs akt.,8443,48,126827991.42,3886159.83,1836.6,21,Buskerud
3,Annen bygning for bofellesskap,67345,195,520143588.47,17667131.65,13537.0,82,Buskerud
4,Annen bygning for overnatting,38503,173,589133938.11,15768991.06,9070.4,92,Buskerud
5,Annen eksp. og terminalbygning,46805,48,192981479.59,6301342.5,6029.0,32,Buskerud
6,Annen fiskeri- og fangstbygn.,266,3,13247588.9,396990.02,0.0,2,Buskerud
7,Annen forretningsbygning,454412,804,2310658535.41,72260927.83,126343.0,383,Buskerud
8,Annen garasje-/hangarbygning,31094,82,449355744.32,11781409.55,6689.6,68,Buskerud
9,Annen hotellbygning,80022,214,456606438.62,11004112.34,14615.0,71,Buskerud
10,Annen idrettsbygning,87921,329,1327005777.33,40889717.72,33824.4,212,Buskerud
11,Annen industribygning,1011029,1146,4257302995.5,133878092.31,370290.5,733,Buskerud
12,Annen kontorbygning,524694,1017,2425956940.41,78999814.1,102690.9,396,Buskerud
13,Annen lagerbygning,317766,728,3650035673.51,111987767.79,149712.0,565,Buskerud
14,Annen landbruksbygning,340649,1499,7269205155.6,219742813.66,171856.6,1173,Buskerud
15,Annen museum/biblioteksbygning,17936,55,179899409.36,5683498.19,5920.0,27,Buskerud
16,Annen primærhelsebygning,85912,90,226340905.59,7295996.68,18642.0,35,Buskerud
17,Annen restaurantbygning,20244,86,273355654.05,8523854.29,7878.0,43,Buskerud
18,Annen skolebygning,153344,285,977701722.34,31632737.64,40793.1,155,Buskerud
19,Annen universitet/høgskolebygn,26297,20,39772882.13,1288364.65,5529.0,9,Buskerud
20,Annen veg-og trafikktilsynsbygning,9560,37,200349886.43,6025965.57,2727.7,31,Buskerud
21,Annet kulturhus,31645,125,393669669.14,11999154.9,4551.8,60,Buskerud
22,Annet sykehjem,3125,13,46891696.68,1341255.77,250.0,7,Buskerud
23,Appartement,117781,408,855942985.62,19349966.23,37590.4,134,Buskerud
24,Bankbygning posthus,32504,84,173898991.81,5231673.12,3627.0,30,Buskerud
25,Barnehage,121912,429,1536768190.67,48883504.71,53388.7,251,Buskerud
26,Barneskole,187962,287,744988691.1,24002380.15,59172.5,145,Buskerud
27,Bedehus menighetshus,24098,132,366483031.09,11641674.02,6924.0,59,Buskerud
28,Bensinstasjon,31409,121,486180292.84,15576805.64,7444.0,86,Buskerud
29,Bibliotek mediatek,3384,8,33370309.49,890773.1100000001,0.0,5,Buskerud
30,Bo- og behandlingssenter,113598,192,586030240.82,18369647.9,31651.9,97,Buskerud
31,Bo- og servicesenter,118937,270,858872163.34,28255965.38,23304.4,135,Buskerud
32,Boligbrakker,30376,113,491907701.7,16054997.93,18937.8,75,Buskerud
33,Brannstasjon ambulansestasjon,17828,54,146866964.12,4302259.57,3931.8999999999996,26,Buskerud
34,Butikk/forretningsbygning,821735,1517,4037415024.79,125946426.21,341502.0,704,Buskerud
35,Bygn.for vannfors.bla. pumpest,24441,93,447047403.25,13924536.08,14322.8,67,Buskerud
36,Bygning for renseanlegg,68123,134,600895166.08,18245810.7,33188.1,94,Buskerud
37,Camping/utleiehytte,44545,527,2179791575.02,47420675.18,8597.8,327,Buskerud
38,Diskotek ungdomsklubb,191,2,6668151.8,201654.54,0.0,1,Buskerud
39,Driftsb. fiske/fangst/oppdr,11470,41,213484352.94,6432668.08,6260.3,33,Buskerud
40,Eksp.bygn. flyterm. kontr.tårn,8362,15,53551464.480000004,1557261.8,0.0,12,Buskerud
41,Enebolig,7009016,80937,242820668616.23,7710316952.87,1449187.28,37272,Buskerud
42,Enebolig m/hybel/sokkelleil.,1123942,11309,30134900584.21,953523031.34,279415.5,4665,Buskerud
43,Fabrikkbygning,549965,500,1605719125.42,50678874.36,210226.1,297,Buskerud
44,Fritidsbygg(hyttersommerh. ol,2648110,28272,133999275159.45,3337753755.59,1576648.57,20063,Buskerud
45,Garasjeuth.anneks til fritidb,28703,166,777477528.04,20175831.71,12160.4,117,Buskerud
46,Garasjeuthus anneks til bolig,401664,3961,18693542214.17,589056828.19,144540.9,2838,Buskerud
47,Gatekjøkken kioskbygning,7938,58,227443998.83,6405933.82,2307.73,37,Buskerud
48,Godsterminal,13699,21,86319691.42,2862076.62,3211.0,15,Buskerud
49,Helse-/sosialsent. helsestasj.,9087,32,100203653.56,3075633.4699999997,1059.0,18,Buskerud
50,Helsestudio,5476,13,46662751.239999995,1513520.89,3353.0,7,Buskerud
51,Helårsb.benyttes som fritidsb.,8060,115,354292517.96,10805985.35,1549.0,53,Buskerud
52,Hospits pensjonat,6946,37,87310757.42,2088786.17,757.0,13,Buskerud
53,Hotellbygning,380395,540,824801109.8100001,21835278.34,42240.0,162,Buskerud
54,Hus for dyr/landbr.lager/silo,671898,2691,13826620417.68,414944922.88,279450.94,2255,Buskerud
55,Idrettshall,131672,101,339332108.11,10935554.52,80748.8,56,Buskerud
56,Ishall,6868,6,19992151.59,697850.0700000001,3262.0,3,Buskerud
57,Jernbane- og T-banestasjon,4950,28,73402935.84,2140194.22,590.0,12,Buskerud
58,Kino/teater/opera/konsertbygn,35970,48,86743454.3,2446930.87,4973.0,14,Buskerud
59,Kirke kapell,21567,88,245976199.96,7982904.26,3902.0,42,Buskerud
60,Kjede/atriumhus,150779,2023,6541701082.89,218578124.11,74659.3,991,Buskerud
61,Kjøle- og fryselager,37269,21,79700509.11,2682945.13,16855.0,14,Buskerud
62,Kjøpesenter varehus,638457,371,906042718.93,28228142.71,146846.5,157,Buskerud
63,"Klinikk, legekontor/-senter/-vakt/dyresykehus",22163,77,199634688.03,6524490.65,5737.0,35,Buskerud
64,Komb. barne- og ungdomsskole,38352,49,120115076.88,3545394.05,22440.0,25,Buskerud
65,Kontor- og adm.bygning rådhus,450102,791,1731498528.9,55541097.86,56857.3,293,Buskerud
66,Kremat. gravkapell bårehus,945,13,33196407.200000003,1123829.16,411.0,6,Buskerud
67,Laboratoriebygning,883,4,13259513.32,462753.79,235.0,2,Buskerud
68,Lagerhall,635229,1067,5961061755.91,188038125.12,376583.5,925,Buskerud
69,Lekepark,8675,26,106637920.87,3483571.57,2941.0,20,Buskerud
70,Mediabygning,1611,9,26589892.990000002,850940.23,1175.6,4,Buskerud
71,Messe- og kongressbygning,10145,22,53499173.13,1634179.45,1000.0,9,Buskerud
72,Motellbygning,17330,53,154661344.88,3685571.55,5243.5,26,Buskerud
73,Museum kunstgalleri,21233,94,252847128.61,7851898.4,2786.1,38,Buskerud
74,Naust båthus sjøbu,829,7,19995257.93,562559.27,220.0,3,Buskerud
75,Naust/redskapshus for fiske,487,4,20117908.09,574953.96,200.0,4,Buskerud
76,Offentlig toalett,215,2,13313300.280000001,434985.24,0.0,2,Buskerud
77,Parkeringshus,338684,163,532715220.54,15673702.1,77964.1,82,Buskerud
78,Politistasjon,15404,25,33437540.82,1021427.4,1478.0,9,Buskerud
79,Postterminal,5819,6,33416787.98,895578.08,1377.0,6,Buskerud
80,Rehabiliter.institusjon.kurbad,37389,94,239503165.53,8162099.32,12520.2,48,Buskerud
81,Rekkehus,470586,6294,18792758602.86,624307444.53,107852.44,2834,Buskerud
82,Restaurantbygning kafebygning,75681,341,902635447.16,25439098.86,17078.5,153,Buskerud
83,Samfunnshus grendehus,32401,193,600687791.78,17874181.22,1557.0,98,Buskerud
84,Sentralkjøkken kantinebygning,6689,14,46557160.25,1598966.22,2226.7,7,Buskerud
85,Seterhus sel rorbu o.l.,28171,301,1698157028.34,40847264.56,6628.6,255,Buskerud
86,Skogs- og utmarkskoie gamme,1122,17,80273789.13,2591738.29,197.0,12,Buskerud
87,Store sammenb. boligbygg på 3 og 4 etg.,283994,762,1237201764.98,42289416.96,45239.1,193,Buskerud
88,Store sammenb. boligbygg på 5 etg. el. mer,262932,493,531791552.04,18187294.02,49877.0,80,Buskerud
89,Store sammenbygde boligbygg på 2 etg.,59371,264,704090638.56,23850401.04,11809.1,109,Buskerud
90,Stort frittliggende boligbygg på 2 etg.,207870,884,2452553635.74,79721969.31,59979.1,373,Buskerud
91,Stort frittliggende boligbygg på 3 og 4 etg.,989286,2516,4236430324.16,141015136.58,185633.6,649,Buskerud
92,Stort frittliggende boligbygg på 5 etg. el. mer,672037,1166,1134799504.59,39007336.44,96506.3,173,Buskerud
93,Studenthjem/studentboliger,37108,71,152813032.88,4965736.72,9231.3,23,Buskerud
94,Svømmehall,24895,17,59937384.11,1808924.1400000001,2322.0,9,Buskerud
95,Sykehjem,123133,155,333254614.16,10606189.93,25724.8,62,Buskerud
96,Sykehus,131936,75,153373696.87,4730751.65,29058.4,28,Buskerud
97,Synagoge moske,1052,5,13262273.58,461886.03,625.0,2,Buskerud
98,Terrassehus,180924,678,1003871066.68,34244756.03,44873.4,151,Buskerud
99,"Tomannsbolig, horisontaldelt",456404,5274,13131746161.84,437893095.37,92274.52,2042,Buskerud
100,"Tomannsbolig, vertikaldelt",703044,10261,32049075571.5,1047768466.36,256409.61,4860,Buskerud
101,Trafikktilsynsbygning,14409,18,66540702.17,2257212.12,1586.0,11,Buskerud
102,Tribune og idrettsgarderobe,18303,30,106569689.58,3446846.4,11564.0,17,Buskerud
103,Ungdomsskole,118996,134,325693701.19,10378182.8,37300.5,61,Buskerud
104,Univ./høgskole m/auditor.leses,44597,30,59831019.49,2092011.4000000001,3180.0,9,Buskerud
105,Vandre-/feriehjem,13614,70,180950919.68,4026321.21,3630.8,34,Buskerud
106,Veksthus,171188,131,803627259.91,27689114.4,104201.6,127,Buskerud
107,Verkstedbygning,424961,799,2981559994.12,92997693.17,131174.3,520,Buskerud
108,Videregående skole,99112,104,266094160.82999998,8512407.66,20768.6,48,Buskerud
109,Våningh. benyttes som fritidsb,10720,169,533545676.71,15749325.99,682.5,81,Buskerud
110,Våningshus,1122976,12491,35445492441.61,1029224862.41,115123.92,5474,Buskerud
111,"Våningshus, tomannsb./horisont.",44838,439,1158260014.17,32369565.65,3165.5,181,Buskerud
112,"Våningshus, tomannsb./vertikal.",25733,263,715393821.25,20787638.36,4296.3,115,Buskerud
